x1,x2
7,4.7
6.4,4.5
6.9,4.9
5.5,4
6.5,4.6
5.7,4.5
6.3,4.7
4.9,3.3
6.6,4.6
5.2,3.9
5,3.5
5.9,4.2
6,4
6.1,4.7
5.6,3.6
6.7,4.4
5.6,4.5
5.8,4.1
6.2,4.5
5.6,3.9
5.9,4.8
6.1,4
6.3,4.9
6.1,4.7
6.4,4.3
6.6,4.4
6.8,4.8
6.7,5
6,4.5
5.7,3.5
5.5,3.8
5.5,3.7
5.8,3.9
6,5.1
5.4,4.5
6,4.5
6.7,4.7
6.3,4.4
5.6,4.1
5.5,4
5.5,4.4
6.1,4.6
5.8,4
5,3.3
5.6,4.2
5.7,4.2
5.7,4.2
6.2,4.3
5.1,3
5.7,4.1
6.3,6
5.8,5.1
7.1,5.9
6.3,5.6
6.5,5.8
7.6,6.6
4.9,4.5
7.3,6.3
6.7,5.8
7.2,6.1
6.5,5.1
6.4,5.3
6.8,5.5
5.7,5
5.8,5.1
6.4,5.3
6.5,5.5
7.7,6.7
7.7,6.9
6,5
6.9,5.7
5.6,4.9
7.7,6.7
6.3,4.9
6.7,5.7
7.2,6
6.2,4.8
6.1,4.9
6.4,5.6
7.2,5.8
7.4,6.1
7.9,6.4
6.4,5.6
6.3,5.1
6.1,5.6
7.7,6.1
6.3,5.6
6.4,5.5
6,4.8
6.9,5.4
6.7,5.6
6.9,5.1
5.8,5.1
6.8,5.9
6.7,5.7
6.7,5.2
6.3,5
6.5,5.2
6.2,5.4
5.9,5.1
